"상권별(1)","상권별(2)",상권별(3),항목,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"서울","소계(기타지역)",미아사거리,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",미아사거리,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",미아사거리,운영경비 (%),35.5,13.7,14.8,15.1,38.4,16.1,17.2
"서울","소계(기타지역)",미아사거리,순영업소득 (%),64.5,86.3,85.2,84.9,61.6,83.9,82.8
"서울","소계(기타지역)",미아사거리,순영업소득 (천원/㎡),52.4,70.3,67.4,67.6,48.3,66.8,66.0
"서울","소계(기타지역)",불광역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",불광역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",불광역,운영경비 (%),42.4,25.1,25.2,25.3,59.1,25.3,27.0
"서울","소계(기타지역)",불광역,순영업소득 (%),57.6,74.9,74.8,74.7,40.9,74.7,73.0
"서울","소계(기타지역)",불광역,순영업소득 (천원/㎡),40.5,52.9,52.5,52.1,28.2,52.1,46.3
"서울","소계(기타지역)",사당,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",사당,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",사당,운영경비 (%),57.3,20.4,20.6,20.7,65.1,21.8,21.5
"서울","소계(기타지역)",사당,순영업소득 (%),42.7,79.6,79.4,79.3,34.9,78.2,78.5
"서울","소계(기타지역)",사당,순영업소득 (천원/㎡),38.1,71.6,70.6,70.2,30.4,65.9,67.1
"서울","소계(기타지역)",상계역,임대수입 (%),99.5,99.5,99.5,99.5,99.5,99.5,99.5
"서울","소계(기타지역)",상계역,기타수입 (%),0.5,0.5,0.5,0.5,0.5,0.5,0.5
"서울","소계(기타지역)",상계역,운영경비 (%),35.8,11.1,12.1,12.8,41.3,10.0,10.3
"서울","소계(기타지역)",상계역,순영업소득 (%),64.2,88.9,87.9,87.2,58.7,90.0,89.7
"서울","소계(기타지역)",상계역,순영업소득 (천원/㎡),31.5,43.7,40.4,40.0,26.9,41.9,44.3
"서울","소계(기타지역)",상봉역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",상봉역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",상봉역,운영경비 (%),28.1,8.4,8.5,8.5,30.9,13.7,13.7
"서울","소계(기타지역)",상봉역,순영업소득 (%),71.9,91.6,91.5,91.5,69.1,86.3,86.3
"서울","소계(기타지역)",상봉역,순영업소득 (천원/㎡),75.2,95.9,95.5,95.0,68.6,90.0,90.1
"서울","소계(기타지역)",서울대입구역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",서울대입구역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",서울대입구역,운영경비 (%),25.9,5.2,5.6,5.5,30.2,5.7,5.9
"서울","소계(기타지역)",서울대입구역,순영업소득 (%),74.1,94.8,94.4,94.5,69.8,94.3,94.1
"서울","소계(기타지역)",서울대입구역,순영업소득 (천원/㎡),111.9,144.2,144.5,145.1,106.7,140.9,134.3
"서울","소계(기타지역)",성신여대,임대수입 (%),99.0,99.0,99.0,99.0,99.0,99.0,99.0
"서울","소계(기타지역)",성신여대,기타수입 (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0
"서울","소계(기타지역)",성신여대,운영경비 (%),28.8,7.7,7.9,8.9,32.2,10.8,16.6
"서울","소계(기타지역)",성신여대,순영업소득 (%),71.2,92.3,92.1,91.1,67.8,89.2,83.4
"서울","소계(기타지역)",성신여대,순영업소득 (천원/㎡),105.5,133.4,131.8,136.0,100.5,133.2,116.4
